shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
sle_shape,0,41.294815,-72.928845
sle_shape,1,41.300360,-72.923591
sle_shape,2,41.302700,-72.923110
sle_shape,3,41.304979,-72.921747
sle_shape,4,41.309375,-72.918185
sle_shape,5,41.311281,-72.911591
sle_shape,6,41.313048,-72.906628
sle_shape,7,41.318985,-72.898001
sle_shape,8,41.322099,-72.884157
sle_shape,9,41.312307,-72.877062
sle_shape,10,41.299027,-72.879834
sle_shape,11,41.290814,-72.879442
sle_shape,12,41.284649,-72.874330
sle_shape,13,41.281511,-72.863310
sle_shape,14,41.282930,-72.852389
sle_shape,15,41.281981,-72.843443
sle_shape,16,41.277007,-72.834297
sle_shape,17,41.274884,-72.824782
sle_shape,18,41.274926,-72.814387
sle_shape,19,41.276890,-72.808735
sle_shape,20,41.275108,-72.800328
sle_shape,21,41.274297,-72.788485
sle_shape,22,41.274958,-72.777379
sle_shape,23,41.274382,-72.769100
sle_shape,24,41.265335,-72.730663
sle_shape,25,41.266260,-72.718128
sle_shape,26,41.266592,-72.704895
sle_shape,27,41.270521,-72.692603
sle_shape,28,41.273866,-72.683006
sle_shape,29,41.281479,-72.645318
sle_shape,30,41.283827,-72.627493
sle_shape,31,41.283963,-72.619263
sle_shape,32,41.283638,-72.595161
sle_shape,33,41.284204,-72.590628
sle_shape,34,41.289099,-72.570836
sle_shape,35,41.289078,-72.563164
sle_shape,36,41.280640,-72.537235
sle_shape,37,41.279750,-72.532786
sle_shape,38,41.278932,-72.517917
sle_shape,39,41.276060,-72.502156
sle_shape,40,41.276322,-72.489645
sle_shape,41,41.281772,-72.471856
sle_shape,42,41.283653,-72.468168
sle_shape,43,41.287190,-72.463353
sle_shape,44,41.289190,-72.452300
sle_shape,45,41.287642,-72.431734
sle_shape,46,41.287897,-72.426936
sle_shape,47,41.291920,-72.400384
sle_shape,48,41.293175,-72.396027
sle_shape,49,41.297641,-72.384637
sle_shape,50,41.302263,-72.372690
sle_shape,51,41.310379,-72.356521
sle_shape,52,41.311091,-72.351379
sle_shape,53,41.310212,-72.341961
sle_shape,54,41.308425,-72.336214
sle_shape,55,41.301259,-72.322965
sle_shape,56,41.297240,-72.309525
sle_shape,57,41.296047,-72.296923
sle_shape,58,41.293205,-72.289765
sle_shape,59,41.291438,-72.283752
sle_shape,60,41.291531,-72.274548
sle_shape,61,41.292600,-72.269906
sle_shape,62,41.299182,-72.251909
sle_shape,63,41.299523,-72.247760
sle_shape,64,41.300658,-72.240942
sle_shape,65,41.301823,-72.229381
sle_shape,66,41.304993,-72.222482
sle_shape,67,41.310379,-72.217447
sle_shape,68,41.313821,-72.212462
sle_shape,69,41.322190,-72.194146
sle_shape,70,41.323235,-72.178447
sle_shape,71,41.318937,-72.171743
sle_shape,72,41.316891,-72.162757
sle_shape,73,41.319287,-72.154450
sle_shape,74,41.321925,-72.150505
sle_shape,75,41.326545,-72.147077
sle_shape,76,41.329501,-72.145821
sle_shape,77,41.333152,-72.142521
sle_shape,78,41.336000,-72.135512
sle_shape,79,41.336567,-72.129819
sle_shape,80,41.334420,-72.115378
sle_shape,81,41.334566,-72.105476
sle_shape,82,41.338847,-72.100563
sle_shape,83,41.348352,-72.097127
sle_shape,84,41.351511,-72.095668
sle_shape,85,41.354511,-72.092851
