trip_id,arrival_time,departure_time,stop_id,stop_sequence
SLE_1621WKD,5:22:00,5:22:00,OSB,1
SLE_1621WKD,5:27:00,5:27:00,WBK,2
SLE_1621WKD,5:32:00,5:32:00,CLN,3
SLE_1621WKD,5:37:00,5:37:00,MAD,4
SLE_1621WKD,5:43:00,5:43:00,GFD,5
SLE_1621WKD,5:52:00,5:52:00,BFD,6
SLE_1621WKD,6:05:00,6:05:00,NHS,7
SLE_1621WKD,6:07:00,6:07:00,NHU,8
SLE_1627WKD,5:50:00,5:50:00,OSB,1
SLE_1627WKD,5:55:00,5:55:00,WBK,2
SLE_1627WKD,6:00:00,6:00:00,CLN,3
SLE_1627WKD,6:05:00,6:05:00,MAD,4
SLE_1627WKD,6:11:00,6:11:00,GFD,5
SLE_1627WKD,6:20:00,6:20:00,BFD,6
SLE_1627WKD,6:33:00,6:33:00,NHS,7
SLE_1627WKD,6:35:00,6:35:00,NHU,8
SLE_1633WKD,5:50:00,5:50:00,NLD,1
SLE_1633WKD,6:15:00,6:15:00,OSB,2
SLE_1633WKD,6:20:00,6:20:00,WBK,3
SLE_1633WKD,6:25:00,6:25:00,CLN,4
SLE_1633WKD,6:30:00,6:30:00,MAD,5
SLE_1633WKD,6:36:00,6:36:00,GFD,6
SLE_1633WKD,6:45:00,6:45:00,BFD,7
SLE_1633WKD,6:58:00,6:58:00,NHS,8
SLE_1633WKD,7:02:00,7:02:00,NHU,9
AT_2151WKD,6:29:00,6:29:00,NLD,1
AT_2151WKD,7:11:00,7:11:00,NHU,2
SLE_1637WKD,6:55:00,6:55:00,OSB,1
SLE_1637WKD,7:00:00,7:00:00,WBK,2
SLE_1637WKD,7:05:00,7:05:00,CLN,3
SLE_1637WKD,7:10:00,7:10:00,MAD,4
SLE_1637WKD,7:16:00,7:16:00,GFD,5
SLE_1637WKD,7:24:00,7:24:00,BFD,6
SLE_1637WKD,7:37:00,7:37:00,NHS,7
SLE_1637WKD,7:40:00,7:40:00,NHU,8
SLE_1641WKD,6:55:00,6:55:00,NLD,1
SLE_1641WKD,7:20:00,7:20:00,OSB,2
SLE_1641WKD,7:25:00,7:25:00,WBK,3
SLE_1641WKD,7:30:00,7:30:00,CLN,4
SLE_1641WKD,7:35:00,7:35:00,MAD,5
SLE_1641WKD,7:41:00,7:41:00,GFD,6
SLE_1641WKD,7:50:00,7:50:00,BFD,7
SLE_1641WKD,8:02:00,8:02:00,NHS,8
SLE_1641WKD,8:05:00,8:05:00,NHU,9
SLE_1645WKD,7:55:00,7:55:00,OSB,1
SLE_1645WKD,8:00:00,8:00:00,WBK,2
SLE_1645WKD,8:05:00,8:05:00,CLN,3
SLE_1645WKD,8:10:00,8:10:00,MAD,4
SLE_1645WKD,8:16:00,8:16:00,GFD,5
SLE_1645WKD,8:25:00,8:25:00,BFD,6
SLE_1645WKD,8:37:00,8:37:00,NHS,7
SLE_1645WKD,8:40:00,8:40:00,NHU,8
AT_95WKD,7:45:00,7:45:00,NLD,1
AT_95WKD,8:04:00,8:04:00,OSB,2
AT_95WKD,8:41:00,8:41:00,NHU,3
SLE_1651WKD,9:14:00,9:14:00,OSB,1
SLE_1651WKD,9:19:00,9:19:00,WBK,2
SLE_1651WKD,9:24:00,9:24:00,CLN,3
SLE_1651WKD,9:29:00,9:29:00,MAD,4
SLE_1651WKD,9:35:00,9:35:00,GFD,5
SLE_1651WKD,9:43:00,9:43:00,BFD,6
SLE_1651WKD,9:56:00,9:56:00,NHS,7
SLE_1651WKD,9:59:00,9:59:00,NHU,8
AT_93-83WKD,11:17:00,11:17:00,NLD,1
AT_93-83WKD,11:36:00,11:36:00,OSB,2
AT_93-83WKD,12:09:00,12:09:00,NHU,3
SLE_1671WKD,14:00:00,14:00:00,OSB,1
SLE_1671WKD,14:16:00,14:16:00,GFD,2
SLE_1671WKD,14:37:00,14:37:00,NHS,3
SLE_1671WKD,14:40:00,14:40:00,NHU,4
SLE_1681WKD,16:30:00,16:30:00,OSB,1
SLE_1681WKD,16:45:00,16:45:00,GFD,2
SLE_1681WKD,17:06:00,17:06:00,NHS,3
SLE_1681WKD,17:10:00,17:10:00,NHU,4
SLE_1687WKD,18:13:00,18:13:00,OSB,1
SLE_1687WKD,18:26:00,18:26:00,GFD,2
SLE_1687WKD,18:46:00,18:46:00,NHS,3
SLE_1687WKD,18:49:00,18:49:00,NHU,4
SLE_1691WKD,18:20:00,18:20:00,NLD,1
SLE_1691WKD,18:43:00,18:43:00,OSB,2
SLE_1691WKD,18:56:00,18:56:00,GFD,3
SLE_1691WKD,19:17:00,19:17:00,NHS,4
SLE_1691WKD,19:20:00,19:20:00,NHU,5
SLE_1695WKD,19:30:00,19:30:00,NLD,1
SLE_1695WKD,19:51:00,19:51:00,OSB,2
SLE_1695WKD,20:06:00,20:06:00,GFD,3
SLE_1695WKD,20:27:00,20:27:00,NHS,4
SLE_1695WKD,20:30:00,20:30:00,NHU,5
SLE_1697WKD,21:05:00,21:05:00,NLD,1
SLE_1697WKD,21:25:00,21:25:00,OSB,2
SLE_1697WKD,21:38:00,21:38:00,GFD,3
SLE_1697WKD,22:02:00,22:02:00,NHS,4
SLE_1697WKD,22:05:00,22:05:00,NHU,5
SLE_1600WKD,5:40:00,5:40:00,GFD,1
